,id,Watamori,MrFahren,Skipper KB,URKOFREDO05,catchafizz,Enfeeb,Pasdeboldutout,Stire,Rebel Tobi,Senze,mean,std
1,Ahri,1745.0,4459.0,6715.0,6772.0,1003.0,11010.0,5037.0,25345.0,6008.0,2336.0,7043.0,6703.4311214481795
2,Akali,1326.0,1996.0,590.0,1506.0,6800.0,11582.0,1066.0,144557.0,297.0,10807.0,18052.7,42360.929454038196
4,Amumu,2208.0,12520.0,3371.0,192.0,1338.0,1013.0,9963.0,981.0,8671.0,2458.0,4271.5,4181.353781970619
8,Ashe,40377.0,8169.0,14989.0,18891.0,15996.0,7668.0,956.0,79432.0,57188.0,14966.0,25863.2,23893.51135685168
12,Blitzcrank,20017.0,16443.0,3679.0,71140.0,147.0,5471.0,2588.0,116360.0,123.0,10671.0,24663.9,36541.20100776656
15,Caitlyn,37155.0,412.0,30205.0,21908.0,3879.0,141583.0,1071.0,75804.0,117094.0,45199.0,47431.0,46731.26263220372
21,Diana,21666.0,123.0,23125.0,141.0,1538.0,3882.0,2814.0,353940.0,157.0,1592.0,40897.8,104680.15686824318
24,Ekko,5257.0,6698.0,53197.0,3637.0,94.0,9532.0,252.0,26292.0,4147.0,7706.0,11681.2,15523.930461065585
28,Fiddlesticks,1003.0,5933.0,1478.0,1425.0,902.0,5593.0,1140.0,4092.0,5293.0,5011.0,3187.0,2052.247645875127
33,Garen,16467.0,48146.0,6601.0,171735.0,369.0,2359.0,1451.0,2176.0,5646.0,8375.0,26332.5,50305.30452000067
37,Hecarim,4852.0,2422.0,2840.0,104.0,174.0,1818.0,2699.0,38976.0,123.0,8222.0,6223.0,11169.566258364735
44,Jax,13967.0,68088.0,2116.0,45590.0,1827.0,19335.0,7836.0,35841.0,12561.0,1196.0,20835.7,21107.06969737865
62,LeeSin,15870.0,11903.0,42132.0,1448.0,1589.0,37644.0,1121.0,15681.0,7952.0,35103.0,17044.3,14926.01683001865
67,Lux,6027.0,7880.0,23931.0,19905.0,99.0,10401.0,4914.0,64090.0,17490.0,8327.0,16306.4,17388.0396606403
71,MasterYi,58201.0,85677.0,2091.0,28062.0,5415.0,2327.0,8229.0,20891.0,15136.0,9438.0,23546.7,26138.752575629922
75,Morgana,3796.0,6680.0,3331.0,12219.0,171.0,1255.0,4756.0,12881.0,1235.0,8685.0,5500.9,4288.71709139225
98,Ryze,2525.0,7642.0,2106.0,22616.0,135.0,3456.0,209.0,3071.0,3672.0,10408.0,5584.0,6419.741832815398
102,Shaco,13044.0,21439.0,2353.0,224.0,7448.0,5121.0,8902.0,782.0,748.0,25899.0,8596.0,8540.043676703299
116,Talon,784.0,158006.0,124.0,5634.0,3261.0,8771.0,139.0,1435.0,1234.0,10817.0,19020.5,46463.58485362488
120,Tristana,25713.0,64292.0,17839.0,48049.0,1498.0,37365.0,4907.0,66078.0,80502.0,19979.0,36622.2,25842.21552731112
124,Twitch,48997.0,9824.0,875.0,3943.0,2383.0,34996.0,3703.0,15302.0,13316.0,42004.0,17534.3,16908.362085370656
128,Vayne,207428.0,17584.0,12291.0,2875.0,724.0,132956.0,50.0,46094.0,17732.0,16216.0,45395.0,65778.1956456697
129,Veigar,46218.0,37988.0,1287.0,105119.0,1265.0,5103.0,21043.0,9845.0,2149.0,8344.0,23836.1,30969.127870994365
133,Vladimir,2783.0,8890.0,14385.0,45782.0,9310.0,12063.0,7054.0,1678.0,1132.0,12779.0,11585.6,12234.32302336341
